id,title,keyword
5971474,The Little Mermaid,remake
7405458,A Man Called Otto,remake
6436620,White Men Can't Jump,remake
1586680,Shameless,remake
5635026,Peter Pan & Wendy,remake
0386676,The Office,remake
14351748,Fatal Attraction,remake
8772296,Euphoria,remake
0113277,Heat,remake
1160419,Dune,remake
6528290,Knights of the Zodiac,remake
1288558,Evil Dead,remake
12923632,Dead Ringers,remake
0120338,Titanic,remake
11242246,The Equalizer,remake
0475784,Westworld,remake
0407887,The Departed,remake
15339570,Champions,remake
1796960,Homeland,remake
0418279,Transformers,remake
1856010,House of Cards,remake
1600194,Hawaii Five-0,remake
7942796,Magnum P.I.,remake
0363547,Dawn of the Dead,remake
2404435,The Magnificent Seven,remake
0086250,Scarface,remake
2771200,Beauty and the Beast ),remake
0108255,Super Mario Bros.,remake
0119643,Meet Joe Black,remake
10795658,Alice in Borderland,remake
0407362,Battlestar Galactica,remake
0050083,12 Angry Men,remake
5151570,Mrs. Harris Goes to Paris,remake
1242432,I Spit on Your Grave,remake
12878838,Bel-Air,remake
0117060,Mission: Impossible,remake
0120616,The Mummy,remake
1661199,Cinderella ),remake
0111503,True Lies,remake
6105098,The Lion King,remake
6139732,Aladdin,remake
0181865,Traffic,remake
1469304,Baywatch,remake
5574490,Animal Kingdom,remake
0151804,Office Space,remake
7657566,Death on the Nile,remake
0367594,Charlie and the Chocolate Factory,remake
1446714,Prometheus ),remake
0056937,Cleopatra,remake
0080453,The Blue Lagoon,remake
0455944,The Equalizer,remake
8589698,Teenage Mutant Ninja Turtles: Mutant Mayhem,remake
0084787,The Thing,remake
1564367,Just Go with It,remake
1263750,Room in Rome,remake
0472043,Apocalypto,remake
3605418,Knock Knock ),remake
1637727,The Killing,remake
0770828,Man of Steel,remake
9051908,Living,remake
1707386,Les Misérables,remake
5034838,Godzilla vs. Kong,remake
4566758,Mulan,remake
0096895,Batman,remake
1232829,21 Jump Street,remake
15302222,Bholaa,remake
0293429,Mortal Kombat,remake
12584954,Twisters,remake
0381849,3:10 to Yuma,remake
6208148,Snow White,remake
1051906,The Invisible Man ),remake
0765010,Brothers ),remake
0437086,Alita: Battle Angel,remake
1638355,The Man from U.N.C.L.E.,remake
0250797,Unfaithful,remake
0240772,Ocean's Eleven,remake
1321511,Oldboy,remake
0120783,The Parent Trap,remake
1355642,Fullmetal Alchemist: Brotherhood,remake
0105323,Scent of a Woman,remake
1831804,The Stand,remake
9421570,The Guilty,remake
0405325,Sky High,remake
0104691,The Last of the Mohicans,remake
0267913,Scooby-Doo,remake
0831387,Godzilla,remake
1568346,The Girl with the Dragon Tattoo,remake
0884328,The Mist,remake
2401256,The Night Of,remake
0115685,The Birdcage,remake
4998632,Ambulance,remake
1219827,Ghost in the Shell,remake
1517451,A Star Is Born,remake
1034415,Suspiria ),remake
5232792,Lost in Space,remake
0970416,The Day the Earth Stood Still,remake
0101540,Cape Fear,remake
3040964,The Jungle Book,remake
0887261,Hellraiser,remake
0106064,Mighty Morphin Power Rangers,remake
3581652,West Side Story,remake
3447590,Roald Dahl's Matilda the Musical,remake
0298130,The Ring,remake
0328107,Man on Fire,remake
11737520,One Piece,remake
0114746,12 Monkeys,remake
3717490,Power Rangers,remake
7740496,Nightmare Alley,remake
0293508,The Phantom of the Opera,remake
0427327,Hairspray,remake
0844708,The Last House on the Left,remake
0259711,Vanilla Sky,remake
0109127,Angels in the Outfield,remake
2345759,The Mummy,remake
0360717,King Kong,remake
0112851,Desperado,remake
0187078,Gone in 60 Seconds,remake
0091064,The Fly,remake
0407304,War of the Worlds,remake
0101272,The Addams Family,remake
1155076,The Karate Kid,remake
0133152,Planet of the Apes,remake
0317740,The Italian Job,remake
