original_language,original_title,overview,popularity,release_date,vote_average,vote_count,movie,year,status
ja,十三人の刺客,A bravado period action film set at the end of Japan's feudal era in which a group of unemployed samurai are enlisted to bring down a sadistic lord and prevent him from ascending to the throne and plunging the country into a war-torn future.,16.563,2010-09-09,7.286,960.0,13 Assassins,2010,remake
en,Thir13en Ghosts,"Arthur and his two children, Kathy and Bobby, inherit his Uncle Cyrus's estate: a glass house that serves as a prison to 12 ghosts. When the family, accompanied by Bobby's Nanny and an attorney, enter the house they find themselves trapped inside an evil machine ""designed by the devil and powered by the dead"" to open the Eye of Hell. Aided by Dennis, a ghost hunter, and his rival Kalina, a ghost rights activist out to set the ghosts free, the group must do what they can to get out of the house alive.",28.276,2001-10-26,6.214,1819.0,Thirteen Ghosts,2001,remake
en,13,"A naive young man assumes a dead man's identity and finds himself embroiled in an underground world of power, violence, and chance where men gamble behind closed doors on the lives of other men.",11.817,2010-03-12,5.792,703.0,13,2010,remake
ta,நண்பன்,"The plot of the film illustrates the embankment of two friends on a quest for a lost buddy, who was once an optimistic and successful student. On their journey, they recount their college life and special moments that the three shared up until their lost friend secretly parted ways after convocation. During their quest, the two encounter a rival classmate who once made a long forgotten bet with them, a funeral that goes impossibly out of control, and a wedding they must crash.",3.215,2012-01-13,6.841,41.0,Nanban,2012,remake
es,3 Idiotas,A group of friends embark on an adventure to find a classmate from university who disappeared without a trace on graduation day.,6.397,2017-04-02,7.51,102.0,3 Idiotas,2017,remake
en,3:10 to Yuma,"In Arizona in the late 1800s, infamous outlaw Ben Wade and his vicious gang of thieves and murderers have plagued the Southern Railroad. When Wade is captured, Civil War veteran Dan Evans, struggling to survive on his drought-plagued ranch, volunteers to deliver him alive to the ""3:10 to Yuma"", a train that will take the killer to trial.",18.668,2007-09-06,7.198,3140.0,3:10 to Yuma,2007,remake
en,Breaking Point,"With D-Day less than 72 hours off, top US intelligence officer Jefferson Pike (Corbin Bernsen), is captured by the enemy. Pike, one of handful of officers who know where the allies will strike, is a professional who the Nazis know will never succumb to torture. They hatch a diabolical plan to deceive him into thinking that the war is over and he's recuperating from memory loss in a US hospital in Germany. His doctor (John Glover) and nurse (Joanna Pacula) head an elite Nazi psychological team that attempt to convince Pike into revealing the top secret. But as time slips away, Pike's captors decide he must reach his BREAKING POINT... or die.",0.634,1989-08-18,0.0,0.0,Breaking Point,1989,remake
en,The 39 Steps,"In London, a diplomat accidentally becomes involved in the death of a British agent who's after a spy ring that covets British military secrets.",1.927,1959-03-13,6.1,23.0,The 39 Steps,1959,remake
en,The Thirty Nine Steps,"The year is 1914 and Richard Hannay, Mining Engineer who is visiting Britain for a short time before returning to South Africa, is shocked when one of his neighbours, Colonel Scudder, bursts into his rooms one night and tells him a story that Prussian 'sleeper' agents are planning to pre-start World War I by murdering a visiting foreign minister. However, Scudder is murdered and Hannay is framed for the death by the 'sleepers'. Fleeing to Scotland Hannay attempts to clear his name and to stop the agents with the aid of Alex Mackenzie but not only is he is chased by Chief Supt Lomas for Scudder's death but by the agents who are headed by Appleton who has managed to hide himself in a high-placed position in the British Government...",4.247,1978-11-04,6.6,29.0,The 39 Steps,1978,remake
en,The 39 Steps,"Richard Hannay, a mining engineer on holiday from the African colonies, finds London socialite life terribly dull. Yet it's more than he bargained for when a secret agent bursts into his room and entrusts him with a coded notebook, concerning the impending start of World War I. In no time both German agents and the British law are chasing him, ruthlessly coveting the Roman numerals code, which Hannay believes he must personally crack.",3.422,2008-12-28,6.019,16.0,The 39 Steps,2008,remake
