header,original,remake
0–9,13 Assassins (1963),13 Assassins (2010)
0–9,13 Ghosts (1960),Thirteen Ghosts (2001)
0–9,13 Tzameti (2005),13 (2010)
0–9,3 Idiots (2009),Nanban (2012)  3 Idiotas (2017)
0–9,3:10 to Yuma (1957),3:10 to Yuma (2007)
0–9,36 Hours (1965),Breaking Point (1989)
0–9,The 39 Steps (1935),The 39 Steps (1959)  The 39 Steps (1978)  The 39 Steps (2008)
0–9,7th Heaven (1927),Seventh Heaven (1937)
A,Aina (1977),"Aaina (2013)
Pyar Jhukta Nahin (1985)
Nee Bareda Kadambari (1985)"
A,Arth (1982),Arth - The Destination (2017)
A,The Absent-Minded Professor (1961),Flubber (1997)
A,Adventures in Babysitting (1987),Adventures in Babysitting (2016)
A,An Affair to Remember (1957),Bheegi Raat (1965)Mann (1999)
A,Aladdin (1992),Aladdin (2019)
A,Alfie (1966),Alfie (2004)
A,The Amityville Horror (1979),The Amityville Horror (2005)
A,Anastasia (1956),Anastasia (1997)
A,And Soon the Darkness (1970),And Soon the Darkness (2010)
A,Angels in the Outfield (1951),Angels in the Outfield (1994)
A,Anthony Zimmer (2005),The Tourist (2010)
A,Antropophagus (1980),Anthropophagous 2000 (1999)
A,Anything for Her (2008),The Next Three Days (2010)
A,The Apartment (1996),Wicker Park (2004)
A,April Fool's Day (1986),April Fool's Day (2008)
A,Around the World in 80 Days (1956),Around the World in 80 Days (2004)
A,The Arena (1974),The Arena (2001)
A,Arthur (1981),Arthur (2011)
A,Assault on Precinct 13 (1976),Assault on Precinct 13 (2005)
A,Attack of the 50 Foot Woman (1958),Attack of the 50 Ft. Woman (1993)
A,Autograph (2004),Naa Autograph (2004)
A,The Awful Truth (1925),The Awful Truth (1929)   The Awful Truth (1937)
B,Back Street (1932),Back Street (1941)
B,The Bad News Bears (1976),Bad News Bears (2005)
B,The Bad Seed (1956),The Bad Seed (1985)  The Bad Seed (2018)
B,Ball of Fire (1941),A Song Is Born (1948)
B,Bangkok Dangerous (1999),Bangkok Dangerous (2008)
B,The Barefoot Executive (1971),The Barefoot Executive (1995)
B,The Barker (1928),Diamond Horseshoe (1945)
B,The Barretts of Wimpole Street (1934),The Barretts of Wimpole Street (1957)
B,The Bat (1926),The Bat Whispers (1930)
B,The Battle of the Sexes (1914),The Battle of the Sexes (1928)
B,Beauty and the Beast (1991),Beauty and the Beast (2017)
B,Bedazzled (1967),Bedazzled (2000)
B,Bedtime Story (1964),Dirty Rotten Scoundrels (1988)  The Hustle (2019)
B,Ben-Hur: A Tale of the Christ (1925),Ben-Hur (1959)Ben-Hur (2016)
B,Beyond a Reasonable Doubt (1956),Beyond a Reasonable Doubt (2009)
B,The Big Clock (1948),No Way Out (1987)
B,Big Deal on Madonna Street (1958),Crackers (1984)Welcome to Collinwood (2002)
B,Billa (2007),Billa (2009)
B,The Bishop's Wife (1947),The Preacher's Wife (1996)
B,Black Christmas (1974),Black Christmas (2006)Black Christmas (2019)
B,Blazing Saddles (1974),Paws of Fury: The Legend of Hank (2022)
B,Blind (2011),The Witness (2015)
B,The Blob (1958),The Blob (1988)
B,The Blue Angel (1930),The Blue Angel (1959)
B,La bonne année (1973),Happy New Year (1987)
B,Born Yesterday (1950),Born Yesterday (1993)
B,Boudu Saved from Drowning (1932),Down and Out in Beverly Hills (1986)Boudu (2005)
B,Breathless (1960),Breathless (1983)
B,Brewster's Millions (1914),Brewster's Millions (1921)Miss Brewster's Millions (1926)Brewster's Millions (1935)Brewster's Millions (1945)Vaddante Dabbu (1954)Three on a Spree (1961)Babai Abbai (1985)Brewster's Millions (1985)Maalamaal (1988)Arunachalam (1997)To Ryca! (2016)Hello Mr. Billionaire (2018)
B,Brian's Song (1971),Brian's Song (2001)
B,Bride Wars (2009),Bride Wars (2015)
B,Brighton Rock (1948),Brighton Rock (2010)
B,Broadway Bill (1934),Riding High (1950)
B,Brødre (2004),Brothers (2009)
B,The Buccaneer (1938),The Buccaneer (1958)
B,A Bucket of Blood (1959),A Bucket of Blood (1995)
B,The Burmese Harp (1956),The Burmese Harp (1985)
C,Cabin Fever (2002),Cabin Fever (2016)
C,The Cabinet of Dr. Caligari (1920),The Cabinet of Dr. Caligari (2005)
C,La Cage aux Folles (1978),The Birdcage (1996)
C,Can’t Buy Me Love (1987),Love Don't Cost a Thing (2003)
C,Cape Fear (1962),Cape Fear (1991)
C,The Captain's Table (1959),The Captain (1971)
C,Carnival of Souls (1962),Carnival of Souls (1998)
C,Carrie (1976),Carrie (2002)Carrie (2013)
C,The Cat and the Canary (1927),The Cat Creeps (1930)  The Cat and the Canary (1939)  The Cat and the Canary (1979)
C,Cat People (1942),Cat People (1982)
C,The Champ (1931),The Champ (1979)  The Clown (1953)
C,Charade (1963),The Truth About Charlie (2002)
C,Charlotte's Web (1973),Charlotte's Web (2006)
C,Cheaper by the Dozen (1950),Cheaper by the Dozen (2003)Cheaper by the Dozen (2022)
C,Chicken Little (1943),Chicken Little (2005)
C,Child's Play (1988),Child's Play (2019)
C,Chinthamani Kolacase (2006),Ellam Avan Seyal (2008)Sri Mahalakshmi (2007)
C,Christmas Eve (1947),Christmas Eve (1986)
C,Christmas in Connecticut (1945),Christmas in Connecticut (1992)
C,Cinderella (1950),Cinderella (2015)
C,Clash of the Titans (1981),Clash of the Titans (2010)
C,Classmates (2006),Classmates (2007)
C,Les Compères (1983),Fathers' Day (1997)
C,The Computer Wore Tennis Shoes (1969),The Computer Wore Tennis Shoes (1995)
C,Confession of Murder aka Naega salinbeomida (2012),Memoirs of a Murderer aka 22-nenme no kokuhaku: Watashi ga satsujinhan desu (2017)
C,Le Convoyeur (2004),Wrath of Man (2021)
C,Le Corbeau (1943),The 13th Letter (1951)
C,Cousin Cousine (1975),Cousins (1989)
C,The Crazies (1973),The Crazies (2010)
C,Criss Cross (1949),The Underneath (1995)
D,Dehleez (1983),Oonche Log (1985)
D,D.O.A. (1950),D.O.A. (1988)
D,Dark Victory (1939),Stolen Hours (1963)
D,Dark Water (2002),Dark Water (2005)
D,Dawn of the Dead (1978),Dawn of the Dead (2004)
D,The Dawn Patrol (1930),The Dawn Patrol (1938)
D,Day of the Dead (1985),Day of the Dead (2008)  Day of the Dead: Bloodline (2018)
D,The Day of the Jackal (1973),The Jackal (1997)
D,The Day the Earth Stood Still (1951),The Day the Earth Stood Still (2008)
D,Death at a Funeral (2007),Death at a Funeral (2010)
D,Death Game (1977),Knock Knock (2015)
D,Death Race 2000 (1975),Death Race (2008)
D,Death Takes a Holiday (1934),Meet Joe Black (1998)
D,Death Wish (1974),Death Wish (2018)
D,The Debt (2007),The Debt (2010)
D,The Defiant Ones (1958),The Defiant Ones (1986)
D,The Desperado (1954),"Cole Younger, Gunfighter (1958)"
D,The Desperate Hours (1955),Desperate Hours (1990)
D,Destry Rides Again (1939),Frenchie (1950)  Destry (1954)
D,Le Deuxième Souffle (1966),The Second Wind (2007)
D,Les Diaboliques (1955),Diabolique (1996)
D,Dial M for Murder (1954),Dial M for Murder (1967)  Dial M for Murder (1981)  A Perfect Murder (1998)
D,Diversion (1980),Fatal Attraction (1987)
D,Diary of a Wimpy Kid (2010),Diary of a Wimpy Kid (2021)
D,Diary of a Wimpy Kid: Rodrick Rules (2011),Diary of a Wimpy Kid: Rodrick Rules (2022)
D,Don (1978),Yugandhar (1979)  Billa (1980)  Shobhraj (1986)  Don (2006)  Billa (2007)
D,Dona Flor and Her Two Husbands (1976),Kiss Me Goodbye (1982)
D,Don't Look Up (1996),Ghost Theater (2015)
D,Doraemon: Nobita and the Birth of Japan (1989),Doraemon: Nobita and the Birth of Japan 2016 (2016)
D,Doraemon: Nobita and the Steel Troops (1986),Doraemon: Nobita and the New Steel Troops—Winged Angels (2011)
D,Doraemon: Nobita's Dinosaur (1980),Doraemon: Nobita's Dinosaur 2006 (2006)
D,Doraemon: Nobita's Great Adventure into the Underworld (1984),Doraemon: Nobita's New Great Adventure into the Underworld (2007)
D,Doraemon: Nobita's Little Star Wars (1985),Doraemon: Nobita's Little Star Wars 2021 (2022)
